web-scraper-order,web-scraper-start-url,name,ranked,deliverytime
1614897568-12,https://www.rappi.com.mx/restaurantes/category/pizza,Don Pizza Corregidora,null,33 mins
1614897568-21,https://www.rappi.com.mx/restaurantes/category/pizza,Pizza y Grill,null,30 mins
1614897568-23,https://www.rappi.com.mx/restaurantes/category/pizza,Mozza Pizzería,null,39 mins
1614897568-5,https://www.rappi.com.mx/restaurantes/category/pizza,Il Diavolo,4.7,40 mins
1614897568-30,https://www.rappi.com.mx/restaurantes/category/pizza,Mariscos El Naufrago,null,34 mins
1614897568-2,https://www.rappi.com.mx/restaurantes/category/pizza,Trapani Pizza,4.8,45 mins
1614897568-6,https://www.rappi.com.mx/restaurantes/category/pizza,Santa Fortuna,null,45 mins
1614897568-26,https://www.rappi.com.mx/restaurantes/category/pizza,La Pizzoleta,4.4,33 mins
1614897568-28,https://www.rappi.com.mx/restaurantes/category/pizza,"Rodeo Cruzeli's Pizza Suc: Comerciantes, Qro.",null,37 mins
1614897568-31,https://www.rappi.com.mx/restaurantes/category/pizza,Il Toro Pizza,null,36 mins
1614897568-25,https://www.rappi.com.mx/restaurantes/category/pizza,Albrizzo 302 Pizza e Burger,null,36 mins
1614897568-13,https://www.rappi.com.mx/restaurantes/category/pizza,California Pizza Kitchen,null,42 mins
1614897568-18,https://www.rappi.com.mx/restaurantes/category/pizza,Gabo's Pizza,null,25 mins
1614897568-19,https://www.rappi.com.mx/restaurantes/category/pizza,Piacere Italiano,null,35 mins
1614897568-20,https://www.rappi.com.mx/restaurantes/category/pizza,Lucco Pizza,null,39 mins
1614897568-22,https://www.rappi.com.mx/restaurantes/category/pizza,Beppe Pizzas,null,39 mins
1614897568-4,https://www.rappi.com.mx/restaurantes/category/pizza,Piu Pizza,4.8,33 mins
1614897568-10,https://www.rappi.com.mx/restaurantes/category/pizza,Los Dogos,4.6,31 mins
1614897568-24,https://www.rappi.com.mx/restaurantes/category/pizza,Pizza Pop,null,38 mins
1614897568-29,https://www.rappi.com.mx/restaurantes/category/pizza,Crilu Pizza,null,36 mins
1614897568-1,https://www.rappi.com.mx/restaurantes/category/pizza,Little Caesars,4.8,27 mins
1614897568-11,https://www.rappi.com.mx/restaurantes/category/pizza,Tonino´s Pizza,null,41 mins
1614897568-14,https://www.rappi.com.mx/restaurantes/category/pizza,Vintage Pizzería,null,41 mins
1614897568-16,https://www.rappi.com.mx/restaurantes/category/pizza,TOSCANO PIZZA & ESPRESSOS,null,39 mins
1614897568-3,https://www.rappi.com.mx/restaurantes/category/pizza,Pizzeta,4.6,35 mins
1614897568-8,https://www.rappi.com.mx/restaurantes/category/pizza,Benedetti's,null,32 mins
1614897568-9,https://www.rappi.com.mx/restaurantes/category/pizza,Il Pizzaiolo Qro,4.4,44 mins
1614897568-27,https://www.rappi.com.mx/restaurantes/category/pizza,Las Mulas,null,30 mins
1614897568-32,https://www.rappi.com.mx/restaurantes/category/pizza,ricardo huerta bazan,null,41 mins
1614897568-7,https://www.rappi.com.mx/restaurantes/category/pizza,Domino's Pizza,4.1,30 mins
1614897568-17,https://www.rappi.com.mx/restaurantes/category/pizza,Mi Piace Pizza Qro,null,40 mins
1614897568-15,https://www.rappi.com.mx/restaurantes/category/pizza,Pizzería Ragazzo,null,50 mins
